cod. ibge;pib;cod_str;Estado;Regiao;Municipio;Familias;Pessoas;% relativo ao Censo 2022;IVCAD;NC;DPI;DCA;TQA;DR;CH;idhm;expectativa_vida;chave;Subsecao_Judiciaria TRF;Atuacao_DPU;DPU_P_Bool;DPU_R_Bool;DPU_Presencial;DPU_Remoto;Tem_DPU;Indice_Vulnerabilidade;Vulnerabilidade_Rank
3550308;8289806080;3550308;SÃO PAULO;SUDESTE;São Paulo;1729361;3765975;32,90%;0.263;0.382;0.04;0.041;0.57;0.381;0.165;0.805;76.3;SAO PAULO_SAO PAULO;SAO PAULO;SIM;True;True;True;True;SIM;Baixa;1
3304557;3596347530;3304557;RIO DE JANEIRO;SUDESTE;Rio de Janeiro;1089937;2143189;34,50%;0.281;0.331;0.054;0.042;0.608;0.497;0.156;0.799;75.69;RIO DE JANEIRO_RIO DE JANEIRO;RIO DE JANEIRO;SIM;True;True;True;True;SIM;Média-Alta;3
5300108;2869437820;5300108;DISTRITO FEDERAL;CENTRO-OESTE;Brasília;424143;947666;33,60%;0.281;0.389;0.088;0.037;0.597;0.439;0.136;0.824;77.35;BRASILIA_DISTRITO FEDERAL;BRASILIA;SIM;True;True;True;True;SIM;Média-Alta;3
3106200;1058296750;3106200;MINAS GERAIS;SUDESTE;Belo Horizonte;309204;685596;29,60%;0.261;0.362;0.052;0.037;0.598;0.368;0.147;0.081;76.37;BELO HORIZONTE_MINAS GERAIS;BELO HORIZONTE;SIM;True;True;True;True;SIM;Baixa;1
1302603;1032814360;1302603;AMAZONAS;NORTE;Manaus;505776;1153070;55,90%;0.29;0.392;0.118;0.049;0.57;0.422;0.187;0.737;74.54;MANAUS_AMAZONAS;MANAUS;SIM;True;True;True;True;SIM;Média-Alta;3
4106902;980037040;4106902;PARANÁ;SUL;Curitiba;185610;420632;23,70%;0.253;0.396;0.074;0.046;0.565;0.316;0.122;0.823;76.3;CURITIBA_PARANA;CURITIBA;SIM;True;True;True;True;SIM;Baixa;1
3534401;861112600;3534401;SÃO PAULO;SUDESTE;Osasco;105348;251377;34,50%;0.267;0.39;0.059;0.059;0.565;0.422;0.106;0.776;75.42;OSASCO_SAO PAULO;OSASCO;SIM;True;True;True;True;SIM;Baixa;1
3302700;858142960;3302700;RIO DE JANEIRO;SUDESTE;Maricá;60874;132183;67,00%;0.266;0.355;0.066;0.048;0.585;0.374;0.168;0.765;75.99;MARICA_RIO DE JANEIRO;NITEROI;SIM;True;True;True;True;SIM;Baixa;1
4314902;815628480;4314902;RIO GRANDE DO SUL;SUL;Porto Alegre;226648;446839;33,50%;0.289;0.369;0.076;0.047;0.632;0.464;0.146;0.805;76.42;PORTO ALEGRE_RIO GRANDE DO SUL;PASSO FUNDO;SIM;True;True;True;True;SIM;Média-Alta;3
3518800;773764670;3518800;SÃO PAULO;SUDESTE;Guarulhos;236454;522547;40,50%;0.276;0.386;0.081;0.053;0.586;0.423;0.124;0.763;74.83;GUARULHOS_SAO PAULO;GUARULHOS;SIM;True;True;True;True;SIM;Média-Baixa;2
