Estado;Regiao;Municipio;Subsecao_Judiciaria TRF;Atuacao_DPU;DPU_Presencial;DPU_Remoto
ACRE;NORTE;JORDAO_AC;CRUZEIRO DO SUL;NAO;NAO;NAO
MATO GROSSO;CENTRO-OESTE;NOVA NAZARE_MT;GARCAS;NAO;NAO;NAO
AMAZONAS;NORTE;MARAA_AM;TEFE;NAO;NAO;NAO
ACRE;NORTE;TARAUACA_AC;CRUZEIRO DO SUL;NAO;NAO;NAO
ACRE;NORTE;PORTO WALTER_AC;CRUZEIRO DO SUL;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;VARGEM ALEGRE_MG;IPATINGA;NAO;NAO;NAO
ACRE;NORTE;MARECHAL THAUMATURGO_AC;CRUZEIRO DO SUL;NAO;NAO;NAO
AMAZONAS;NORTE;FONTE BOA_AM;TEFE;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;JARDIM DE ANGICOS_RN;CEARA-MIRIM;NAO;NAO;NAO
MATO GROSSO;CENTRO-OESTE;CAMPINAPOLIS_MT;GARCAS;NAO;NAO;NAO
MATO GROSSO DO SUL;CENTRO-OESTE;CORONEL SAPUCAIA_MS;PONTA PORA;NAO;NAO;NAO
MATO GROSSO DO SUL;CENTRO-OESTE;PARANHOS_MS;PONTA PORA;NAO;NAO;NAO
MATO GROSSO DO SUL;CENTRO-OESTE;JAPORA_MS;NAVIRAIV;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;NOVA PORTEIRINHA_MG;JANAUBA;NAO;NAO;NAO
PARA;NORTE;PAU D'ARCO_PA;REDENCAO;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;CARNAUBEIRA DA PENHA_PE;SALGUEIRO;NAO;NAO;NAO
BAHIA;NORDESTE;BURITIRAMA_BA;BARREIRAS;NAO;NAO;NAO
GOIAS;CENTRO-OESTE;CAMPOS VERDES_GO;URUACU;NAO;NAO;NAO
AMAZONAS;NORTE;JURUA_AM;TEFE;NAO;NAO;NAO
RIO GRANDE DO SUL;SUL;GRAMADO DOS LOUREIROS_RS;ERECHIM;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;CAICARA DO NORTE_RN;CEARA-MIRIM;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;ITAIPE_MG;TEOFILO OTONI;NAO;NAO;NAO
AMAZONAS;NORTE;TAPAUA_AM;TEFE;NAO;NAO;NAO
ACRE;NORTE;FEIJO_AC;CRUZEIRO DO SUL;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;SAO SEBASTIAO DO ANTA_MG;IPATINGA;NAO;NAO;NAO
TOCANTINS;NORTE;MURICILANDIA_TO;ARAGUAINA;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;PEDRA PRETA_RN;CEARA-MIRIM;NAO;NAO;NAO
BAHIA;NORDESTE;ITANAGRA_BA;ALAGOINHAS;NAO;NAO;NAO
BAHIA;NORDESTE;PARATINGA_BA;BOM JESUS DA LAPA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;TAPARUBA_MG;MANHUACU;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;CALUMBI_PE;SERRA TALHADA;NAO;NAO;NAO
PARA;NORTE;BANNACH_PA;REDENCAO;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;SANTA HELENA DE MINAS_MG;TEOFILO OTONI;NAO;NAO;NAO
SERGIPE;NORDESTE;BREJO GRANDE_SE;PROPRIA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;LADAINHA_MG;TEOFILO OTONI;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;BREJAO_PE;GARANHUNS;NAO;NAO;NAO
BAHIA;NORDESTE;CATOLANDIA_BA;BARREIRAS;NAO;NAO;NAO
GOIAS;CENTRO-OESTE;TERESINA DE GOIAS_GO;FORMOSA;NAO;NAO;NAO
CEARA;NORDESTE;CARIDADE_CE;MARACANAU;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;BERTOPOLIS_MG;TEOFILO OTONI;NAO;NAO;NAO
BAHIA;NORDESTE;BAIANOPOLIS_BA;BARREIRAS;NAO;NAO;NAO
ACRE;NORTE;MANCIO LIMA_AC;CRUZEIRO DO SUL;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;PARANATAMA_PE;GARANHUNS;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;INAJA_PE;ARCOVERDE;NAO;NAO;NAO
CEARA;NORDESTE;IBICUITINGA_CE;QUIXADA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;SAO JOAO DAS MISSOES_MG;JANAUBA;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;TRIUNFO POTIGUAR_RN;ACU;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;FORMOSO_MG;UNAI;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;IATI_PE;GARANHUNS;NAO;NAO;NAO
BAHIA;NORDESTE;PRADO_BA;TEIXEIRA DE FREITAS;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;PARANA_RN;PAU DOS FERROS;NAO;NAO;NAO
BAHIA;NORDESTE;ITAPEBI_BA;EUNAPOLIS;NAO;NAO;NAO
BAHIA;NORDESTE;JUSSARA_BA;IRECE;NAO;NAO;NAO
BAHIA;NORDESTE;CONDE_BA;ALAGOINHAS;NAO;NAO;NAO
CEARA;NORDESTE;IBARETAMA_CE;QUIXADA;NAO;NAO;NAO
PARA;NORTE;JACAREACANGA_PA;ITAITUBA;NAO;NAO;NAO
BAHIA;NORDESTE;SITIO DO MATO_BA;BOM JESUS DA LAPA;NAO;NAO;NAO
MATO GROSSO DO SUL;CENTRO-OESTE;TACURU_MS;NAVIRAIV;NAO;NAO;NAO
TOCANTINS;NORTE;SAMPAIO_TO;ARAGUAINA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;BIQUINHAS_MG;SETE LAGOAS;NAO;NAO;NAO
BAHIA;NORDESTE;MACURURE_BA;PAULO AFONSO;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;SEVERIANO MELO_RN;PAU DOS FERROS;NAO;NAO;NAO
TOCANTINS;NORTE;AXIXA DO TOCANTINS_TO;ARAGUAINA;NAO;NAO;NAO
RIO GRANDE DO SUL;SUL;REDENTORA_RS;PELOTAS;NAO;NAO;NAO
SERGIPE;NORDESTE;ITABAIANINHA_SE;ESTANCIA;NAO;NAO;NAO
BAHIA;NORDESTE;MUQUEM DO SAO FRANCISCO_BA;BARREIRAS;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;CATUJI_MG;TEOFILO OTONI;NAO;NAO;NAO
