cod. ibge;Municipio;Familias;Pessoas;% relativo ao Censo 2022;IVCAD;NC;DPI;DCA;TQA;DR;CH
5200050;Abadia de Goiás;5.700;14.713;76,90%;0,281;0,411;0,116;0,063;0,599;0,328;0,172
3100104;Abadia dos Dourados;1.167;2.561;40,80%;0,274;0,356;0,069;0,067;0,655;0,387;0,108
5200100;Abadiânia;4.007;9.979;57,90%;0,28;0,397;0,122;0,056;0,621;0,332;0,152
3100203;Abaeté;4.621;10.208;45,00%;0,266;0,351;0,054;0,042;0,662;0,382;0,106
1500107;Abaetetuba;59.406;129.903;82,10%;0,306;0,29;0,07;0,02;0,631;0,469;0,358
2300101;Abaiara;3.442;8.157;81,30%;0,283;0,321;0,048;0,016;0,63;0,449;0,232
2900108;Abaíra;3.291;6.015;82,40%;0,252;0,219;0,031;0,016;0,632;0,466;0,148
2900207;Abaré;6.079;13.836;78,40%;0,292;0,307;0,084;0,066;0,621;0,434;0,242
4100103;Abatiá;1.372;3.516;48,60%;0,253;0,386;0,083;0,063;0,622;0,268;0,094
4200051;Abdon Batista;568;1.551;59,70%;0,321;0,378;0,096;0,072;0,646;0,39;0,341
1500131;Abel Figueiredo;2.383;5.143;83,80%;0,384;0,34;0,119;0,109;0,765;0,487;0,483
4200101;Abelardo Luz;4.060;9.587;55,10%;0,359;0,403;0,119;0,057;0,665;0,383;0,524
3100302;Abre Campo;2.539;6.138;44,10%;0,351;0,337;0,091;0,035;0,689;0,454;0,5
2600054;Abreu e Lima;31.917;66.004;67,00%;0,273;0,32;0,076;0,036;0,624;0,437;0,145
1700251;Abreulândia;848;2.045;79,40%;0,263;0,38;0,078;0,075;0,627;0,242;0,178
3100401;Acaiaca;1.007;2.303;58,90%;0,309;0,336;0,068;0,028;0,671;0,424;0,329
2100055;Açailândia;25.058;61.840;58,00%;0,267;0,384;0,09;0,066;0,636;0,351;0,073
2900306;Acajutiba;4.952;10.763;78,00%;0,275;0,312;0,059;0,039;0,661;0,429;0,152
1500206;Acará;19.302;49.776;84,30%;0,319;0,342;0,081;0,06;0,679;0,456;0,299
2300150;Acarape;4.670;11.730;83,60%;0,288;0,328;0,081;0,091;0,681;0,425;0,122
2300200;Acaraú;18.887;47.011;72,00%;0,293;0,319;0,069;0,029;0,705;0,465;0,172
2400109;Acari;2.585;6.138;57,90%;0,25;0,311;0,047;0,061;0,644;0,347;0,093
2200053;Acauã;2.195;5.235;81,50%;0,288;0,255;0,069;0,022;0,702;0,424;0,254
4300034;Aceguá;923;2.154;51,70%;0,297;0,368;0,13;0,039;0,659;0,425;0,16
2300309;Acopiara;14.786;33.065;73,50%;0,285;0,281;0,057;0,061;0,68;0,453;0,178
5100102;Acorizal;1.906;4.100;81,80%;0,334;0,339;0,091;0,089;0,656;0,427;0,402
1200013;Acrelândia;4.148;10.350;73,80%;0,303;0,399;0,118;0,052;0,67;0,369;0,213
5200134;Acreúna;4.982;11.668;54,10%;0,262;0,409;0,091;0,072;0,621;0,22;0,157
2400208;Açu;17.939;40.555;71,80%;0,27;0,311;0,064;0,049;0,665;0,381;0,149
3100500;Açucena;2.087;4.940;55,20%;0,277;0,328;0,075;0,039;0,672;0,384;0,165
3500105;Adamantina;3.432;7.782;22,40%;0,25;0,413;0,059;0,046;0,594;0,303;0,085
5200159;Adelândia;627;1.455;63,30%;0,253;0,357;0,075;0,08;0,624;0,249;0,134
3500204;Adolfo;662;1.675;38,50%;0,25;0,409;0,074;0,039;0,598;0,306;0,076
4100202;Adrianópolis;1.555;3.827;61,20%;0,263;0,366;0,105;0,018;0,642;0,313;0,133
2900355;Adustina;5.461;11.028;77,70%;0,289;0,236;0,05;0,023;0,718;0,447;0,259
2600104;Afogados da Ingazeira;12.778;28.985;72,00%;0,265;0,293;0,063;0,074;0,671;0,375;0,117
2400307;Afonso Bezerra;4.675;8.693;80,20%;0,279;0,243;0,051;0,049;0,721;0,48;0,132
3200102;Afonso Cláudio;6.050;16.312;53,20%;0,254;0,355;0,087;0,03;0,652;0,235;0,168
2100105;Afonso Cunha;2.542;6.516;106,10%;0,339;0,367;0,087;0,079;0,663;0,5;0,335
2600203;Afrânio;7.226;15.124;81,00%;0,303;0,28;0,064;0,023;0,725;0,465;0,258
1500305;Afuá;12.586;39.267;104,00%;0,382;0,409;0,162;0,141;0,731;0,471;0,379
2600302;Agrestina;9.949;19.148;80,50%;0,296;0,271;0,063;0,034;0,749;0,5;0,161
2200103;Agricolândia;1.810;4.314;87,30%;0,316;0,31;0,059;0,099;0,66;0,446;0,321
4200200;Agrolândia;617;1.727;15,70%;0,29;0,471;0,124;0,079;0,618;0,309;0,137
4200309;Agronômica;220;691;11,40%;0,303;0,501;0,148;0,066;0,625;0,302;0,179
1500347;Água Azul do Norte;4.477;10.430;57,70%;0,311;0,369;0,103;0,076;0,679;0,428;0,21
5100201;Água Boa;4.836;12.627;43,20%;0,268;0,441;0,105;0,065;0,601;0,201;0,196
3100609;Água Boa;3.451;8.575;68,10%;0,289;0,317;0,097;0,038;0,702;0,383;0,195
2200202;Água Branca;5.968;12.694;72,20%;0,359;0,302;0,067;0,067;0,634;0,48;0,601
2700102;Água Branca;5.263;14.918;78,50%;0,315;0,355;0,095;0,043;0,728;0,427;0,24
2500106;Água Branca;3.275;7.978;85,50%;0,3;0,287;0,063;0,037;0,742;0,472;0,198
5000203;Água Clara;4.501;9.927;59,30%;0,324;0,43;0,094;0,086;0,622;0,41;0,304
3100708;Água Comprida;427;980;46,50%;0,291;0,417;0,105;0,072;0,667;0,429;0,056
4200408;Água Doce;786;2.206;33,90%;0,272;0,474;0,145;0,104;0,616;0,1;0,192
2100154;Água Doce do Maranhão;3.843;9.694;79,80%;0,328;0,323;0,081;0,064;0,76;0,446;0,294
3200169;Água Doce do Norte;3.437;8.308;69,00%;0,284;0,343;0,092;0,038;0,665;0,413;0,151
2900405;Água Fria;7.082;12.308;84,90%;0,301;0,23;0,052;0,03;0,702;0,512;0,277
5200175;Água Fria de Goiás;1.556;3.608;72,80%;0,294;0,369;0,109;0,055;0,649;0,374;0,211
5200209;Água Limpa;693;1.308;70,40%;0,285;0,345;0,069;0,042;0,612;0,49;0,153
2400406;Água Nova;992;2.423;82,20%;0,259;0,264;0,048;0,075;0,649;0,388;0,131
2600401;Água Preta;8.976;18.864;71,30%;0,293;0,3;0,082;0,057;0,742;0,437;0,142
4300059;Água Santa;581;1.279;32,70%;0,329;0,366;0,101;0,036;0,667;0,413;0,392
3500303;Aguaí;5.527;12.754;39,80%;0,281;0,389;0,089;0,075;0,63;0,411;0,092
3100807;Aguanil;872;2.271;52,10%;0,264;0,366;0,079;0,027;0,669;0,338;0,103
2600500;Águas Belas;15.331;34.438;82,90%;0,314;0,296;0,091;0,034;0,737;0,5;0,223
3500402;Águas da Prata;942;2.374;32,20%;0,271;0,435;0,081;0,076;0,608;0,33;0,096
4200507;Águas de Chapecó;797;2.231;37,00%;0,291;0,426;0,128;0,062;0,629;0,307;0,193
3500501;Águas de Lindóia;2.034;4.481;25,00%;0,266;0,443;0,055;0,06;0,604;0,333;0,097
3500550;Águas de Santa Bárbara;1.255;2.797;39,00%;0,269;0,361;0,072;0,062;0,604;0,422;0,095
3500600;Águas de São Pedro;403;878;31,60%;0,23;0,354;0,022;0,055;0,555;0,317;0,075
3100906;Águas Formosas;6.325;13.240;71,80%;0,289;0,3;0,065;0,032;0,688;0,506;0,143
4200556;Águas Frias;290;873;30,80%;-;-;-;-;-;-;-
5200258;Águas Lindas de Goiás;52.994;131.872;58,40%;0,281;0,414;0,125;0,043;0,597;0,396;0,11
4200606;Águas Mornas;484;1.294;19,20%;0,291;0,477;0,105;0,044;0,608;0,353;0,158
3101003;Águas Vermelhas;4.611;10.002;71,30%;0,326;0,32;0,08;0,025;0,714;0,481;0,335
4300109;Agudo;2.014;4.632;28,90%;0,286;0,354;0,086;0,074;0,676;0,356;0,169
3500709;Agudos;4.205;9.925;26,30%;0,257;0,428;0,076;0,027;0,603;0,31;0,098
4100301;Agudos do Sul;2.260;5.504;53,80%;0,288;0,404;0,125;0,076;0,665;0,335;0,121
3200136;Águia Branca;2.278;5.934;61,10%;0,296;0,369;0,106;0,073;0,662;0,326;0,237
2500205;Aguiar;1.905;4.378;87,50%;0,275;0,238;0,037;0,051;0,701;0,392;0,23
1700301;Aguiarnópolis;1.204;3.364;74,80%;0,27;0,356;0,101;0,073;0,629;0,276;0,188
3101102;Aimorés;5.597;13.012;51,50%;0,264;0,371;0,077;0,029;0,628;0,36;0,119
2900603;Aiquara;1.785;3.487;78,40%;0,282;0,301;0,051;0,07;0,714;0,404;0,15
2300408;Aiuaba;5.133;11.104;78,90%;0,284;0,269;0,049;0,026;0,67;0,48;0,211
3101201;Aiuruoca;807;1.784;28,60%;0,257;0,327;0,092;0,056;0,667;0,234;0,166
4300208;Ajuricaba;677;1.462;21,80%;0,285;0,346;0,06;0,085;0,686;0,384;0,151
3101300;Alagoa;558;1.306;47,50%;0,271;0,307;0,07;0,036;0,646;0,434;0,131
2500304;Alagoa Grande;8.727;20.643;79,20%;0,289;0,309;0,082;0,059;0,73;0,419;0,133
2500403;Alagoa Nova;6.051;15.242;72,50%;0,29;0,322;0,079;0,07;0,707;0,385;0,177
2600609;Alagoinha;4.820;10.511;77,60%;0,295;0,28;0,073;0,081;0,672;0,45;0,213
2500502;Alagoinha;4.668;10.499;76,50%;0,315;0,322;0,089;0,068;0,77;0,481;0,157
2200251;Alagoinha do Piauí;2.483;5.176;75,90%;0,29;0,243;0,047;0,027;0,698;0,488;0,233
2900702;Alagoinhas;44.596;91.391;60,50%;0,262;0,308;0,061;0,04;0,637;0,423;0,101
3500758;Alambari;930;2.270;37,00%;0,252;0,427;0,096;0,048;0,619;0,252;0,07
3101409;Albertina;447;1.146;38,80%;0,278;0,382;0,064;0,061;0,667;0,385;0,108
2100204;Alcântara;8.501;16.994;92,00%;0,289;0,227;0,053;0,045;0,627;0,482;0,301
2300507;Alcântaras;2.846;8.094;71,20%;0,28;0,353;0,067;0,03;0,664;0,341;0,222
2500536;Alcantil;1.601;4.051;72,60%;0,297;0,315;0,067;0,038;0,686;0,428;0,249
