cod. ibge;ano;pib;impostos_liquidos;va;va_agropecuaria;va_industria;va_servicos;va_adespss
3550308;2021;828980608;168184028;660796580;61625;62513855;549767395;48453705
3304557;2021;359634753;79324423;280310329;111267;45685982;177541096;56971984
5300108;2021;286943782;29915404;257028378;2286948;10235490;127696742;116809198
3106200;2021;105829675;13745342;92084333;4388;16150132;63186009;12743805
1302603;2021;103281436;21017364;82264072;201067;37697009;33086599;11279398
4106902;2021;98003704;18098537;79905167;17725;17640491;53113483;9133467
3534401;2021;86111260;19194386;66916874;1392;4963982;58664576;3286923
3302700;2021;85814296;757901;85056395;16520;65616073;17609607;1814194
4314902;2021;81562848;12161026;69401822;36860;6584091;54872499;7908373
3518800;2021;77376467;14358672;63017795;57763;17040801;40037172;5882058
2304400;2021;73436128;12811311;60624817;107143;8472592;41839236;10205847
3509502;2021;72946775;13827269;59119506;170417;11136727;42629969;5182393
3303302;2021;66345730;2962539;63383192;26399;37156054;21273256;4927483
2927408;2021;62954487;8734570;54219917;52697;7160180;38113505;8893535
5208707;2021;59865990;8709448;51156542;77119;8482234;34799549;7797640
3548708;2021;58277014;11735705;46541309;11196;13216248;29662760;3651105
3505708;2021;58027667;13818755;44208912;464;5741034;36185003;2282410
3525904;2021;57670893;13962024;43708869;185537;11700444;29583739;2239148
2611606;2021;54970305;9802417;45167888;60088;6208334;31199529;7699937
3301702;2021;53136666;8803152;44333515;18006;14779164;22667528;6868815
3536505;2021;52389437;8271374;44118063;18367;26746711;16124529;1228456
1505536;2021;49763040;1406360;48356680;238183;40659674;5656072;1802752
4208203;2021;47754802;21258891;26495910;101270;3907186;20854294;1633160
3549904;2021;45208808;6381319;38827489;25504;16459171;19457996;2884819
4209102;2021;45069864;11411820;33658044;161182;11937392;18174354;3385117
3552205;2021;44533398;9403717;35129681;43587;11416524;20709422;2960148
3170206;2021;43129285;9201421;33927863;921227;10575603;19167843;3263190
3305505;2021;42178208;419311;41758898;22407;31852885;8961985;921622
3543402;2021;39955572;4922436;35033136;120324;5374499;26672939;2865374
3205002;2021;37279406;8471037;28808369;34539;13151407;13219359;2403065
3301009;2021;37179860;1429953;35749907;368935;20380244;10854552;4146176
2111300;2021;36535226;7508824;29026402;25578;7326938;17693956;3979931
3118601;2021;36479765;6850386;29629379;3053;9142356;17499213;2984757
1502152;2021;34989610;525207;34464403;111001;30877742;3066395;409265
5002704;2021;34731151;5325159;29405992;817072;4351111;17538622;6699187
3538709;2021;34555724;7883049;26672675;168946;9974330;14606755;1922644
2905701;2021;33971705;7982958;25988747;20677;15715317;8861821;1390933
1501402;2021;33467126;6341813;27125314;99129;3545283;17761261;5719640
3106705;2021;33132919;5688918;27444001;18120;14553861;10566143;2305877
3547809;2021;32620295;4694607;27925688;1385;7782625;17322922;2818756
4305108;2021;31688460;5271802;26416658;275560;9594397;13646691;2900010
3205309;2021;31423573;6232814;25190759;26154;9518389;13650873;1995344
5103403;2021;29746934;4963251;24783683;41675;4673741;15660667;4407600
2704302;2021;27484016;4305013;23179003;315687;4406278;14292530;4164508
4125506;2021;27009658;6958830;20050828;507222;7764436;9987600;1791570
4101804;2021;25267382;3442425;21824957;239813;14216639;6296736;1071769
2408102;2021;24186262;3410639;20775623;19998;2556520;13347921;4851183
3548500;2021;24090173;3763637;20326536;5249;2150156;15770944;2400187
2211001;2021;23895231;3327478;20567753;55079;3498975;12455584;4558115
4113700;2021;23604749;3039449;20565300;529678;4346595;12880972;2808055
4205407;2021;23555034;3735531;19819503;75454;1668521;15080495;2995033
3520509;2021;22817117;5040577;17776540;46619;6772161;9716239;1241521
3509205;2021;22713160;5238109;17475051;277;2955319;14021896;497560
4115200;2021;22656733;3622172;19034561;172761;3810290;12774137;2277374
2507507;2021;22244284;3170608;19073677;43109;3282732;11458843;4288992
4304606;2021;21995362;3091272;18904090;10475;8390681;8593955;1908979
3513504;2021;21946472;2846506;19099966;1326;12465420;5836352;796868
3144805;2021;21042646;1134198;19908448;3335;13943010;5225499;736603
3549805;2021;20962617;2390624;18571993;64180;2145380;14508308;1854125
3529401;2021;20776213;3272944;17503269;22;7756772;7936388;1810087
4202404;2021;20576440;3184117;17392324;120512;4729049;10518655;2024107
3170107;2021;20397519;3114714;17282805;1425496;6133709;8030613;1692988
3304904;2021;20324883;1843431;18481452;81571;2003957;8725199;7670724
3136702;2021;20297559;2843472;17454087;55014;4534878;10195934;2668262
1100205;2021;20059522;2851398;17208124;1041285;4627968;7555512;3983359
3527306;2021;19677151;3912791;15764360;37359;5764020;9636001;326980
3306305;2021;19671281;3270214;16401067;8048;8507261;5640223;2245535
3530607;2021;19604517;2973057;16631461;538094;4765447;9446543;1881376
4119905;2021;19490853;3245514;16245339;334284;6532287;7693208;1685561
4108304;2021;18969765;948427;18021338;121178;11498589;4875735;1525837
3513801;2021;18484356;3537310;14947045;1127;5202147;7914094;1829678
2800308;2021;18405678;2356643;16049035;3330;1850431;10683342;3511933
3519071;2021;18377822;3794353;14583469;1575;5178931;8314851;1088112
3303500;2021;17794593;1722143;16072450;8261;1523123;8460495;6080572
5201108;2021;17788289;3011482;14776808;161293;4987744;7616644;2011127
3302403;2021;17747016;2760752;14986264;75525;5538025;6094437;3278277
3131307;2021;17609177;1968497;15640680;3358;9195872;5138968;1302482
5107602;2021;17295644;2683976;14611669;591965;4177538;8137633;1704532
2910800;2021;17282198;2977198;14305000;85543;3701828;8586487;1931141
5201405;2021;16979984;2569915;14410069;19867;3572536;8176707;2640958
3506003;2021;16721368;1842664;14878704;49290;2524992;10733609;1570814
5218805;2021;16306271;1779481;14526790;3694787;3502651;5845570;1483783
3205200;2021;16305842;3602230;12703612;25395;2493628;8047840;2136750
3554102;2021;16199986;2994084;13205902;29196;4619437;7062456;1494813
3552403;2021;16179892;3048500;13131392;328222;4539681;7114201;1149289
2607901;2021;16133556;3307783;12825773;92991;2312757;7568042;2851983
3513009;2021;16114165;3652642;12461523;31268;3684979;7573010;1172265
3524402;2021;16094435;3384895;12709540;38512;5105907;6611049;954072
3526902;2021;16060739;2582513;13478226;113031;4846074;7194793;1324329
3550704;2021;16008645;456702;15551944;15864;9764264;5075981;695835
4104808;2021;15787528;2214717;13572811;1206734;2651368;8089960;1624748
3303906;2021;15665448;1875030;13790418;70958;4742118;6528010;2449332
3548807;2021;15566768;2335630;13231138;31;3515560;8183229;1532318
3501608;2021;15217280;2388914;12828366;14188;4499622;7144793;1169763
3131703;2021;14971929;462303;14509626;24520;10408672;3475027;601407
2607208;2021;14929346;3247090;11682256;189929;7078373;3544329;869625
3552502;2021;14811514;2605420;12206093;365314;5291218;5335113;1214448
3515004;2021;14314754;2917379;11397375;398;1790456;8506889;1099632
3548906;2021;14141854;2057500;12084355;170583;3844335;6861134;1208302
3524709;2021;13981302;2951151;11030151;20780;3759803;6870415;379153
3520400;2021;13956618;134531;13822087;4355;9689118;3816794;311820
4216602;2021;13838193;3074064;10764130;9971;1507031;7909875;1337253
3538006;2021;13742498;2416240;11326259;43052;6276328;4231575;775304
2602902;2021;13706389;3517490;10188898;69213;4050765;4924609;1144312
3201308;2021;13698973;4548585;9150388;20821;1673112;5874966;1581488
4204202;2021;13693104;1732227;11960877;253596;3391773;7092059;1223448
3125101;2021;13651225;4449855;9201370;11357;2420914;6466084;303014
4118204;2021;13647352;2554358;11092994;16668;3084725;7071466;920135
1504208;2021;13523145;1480128;12043017;608869;6619846;3400749;1413553
1400100;2021;13493364;1578429;11914935;190928;1306705;5625759;4791543
4315602;2021;13282154;2228562;11053592;440806;4237227;5052629;1322930
3543907;2021;13245336;2174902;11070434;112217;4767918;5155245;1035055
3131901;2021;13139828;538941;12600887;8517;9350936;2818850;422585
2929206;2021;13086121;2272321;10813800;17002;7333620;3095222;367956
5008305;2021;13058332;1341406;11716926;1276855;6622742;2824825;992504
4322004;2021;12982386;2859992;10122394;186213;7196781;2420606;318793
1600303;2021;12938060;1191765;11746295;71440;1068727;5643418;4962711
3522505;2021;12854995;2393511;10461484;365;1967818;7477096;1016204
3167202;2021;12659740;2188640;10471100;36541;4826059;4366717;1241784
5003702;2021;12595690;1808462;10787227;1094473;1937059;6082793;1672903
3556701;2021;12557909;3084457;9473452;14331;3476252;5428697;554172
4314100;2021;12552833;1973424;10579408;329161;1433974;7675065;1141208
5107925;2021;12522633;1268882;11253750;4271404;1690571;4601911;689865
3300704;2021;12359627;531924;11827703;58007;5375425;4224096;2170174
2307650;2021;12337017;2660225;9676792;19854;3664707;4907454;1084777
4208906;2021;12052185;2018652;10033533;95606;4529600;4399300;1009027
3503208;2021;11953237;1452391;10500847;124543;2194730;6924501;1257073
3547304;2021;11544903;2076521;9468383;125769;2027288;6311004;1004321
3516200;2021;11276086;1154851;10121235;159929;1608561;6913824;1438921
3300100;2021;11194244;1084315;10109929;60857;3331325;4796244;1921503
1200401;2021;10955675;1507114;9448561;464933;880534;5153657;2949436
4318705;2021;10855366;2368898;8486468;2470;2557761;4500349;1425888
3143302;2021;10800251;1337047;9463204;156031;1962106;5465198;1879869
4314407;2021;10778119;1211627;9566492;434024;1319876;5896017;1916575
3304201;2021;10754410;2652300;8102110;60059;3265318;3575581;1201152
3152501;2021;10720093;2212043;8508051;109543;2437010;5154224;807274
2606200;2021;10662964;2774177;7888787;247063;5131372;2017569;492782
3523909;2021;10540813;2062997;8477816;61728;2778956;4851516;785616
3302007;2021;10502749;1287471;9215278;18783;769963;7105419;1321113
